"title","link","image","director","country","year","description"
"Porto of My Childhood","https://www.criterionchannel.com/porto-of-my-childhood","https://vhx.imgix.net/criterionchannelchartersu/assets/2e396313-1299-459f-bfe7-d893ed9e7cf6.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Manoel de Oliveira","France,","2001","Directed by Manoel de Oliveira • 2001 • France, Portugal
Starring Jorge Trêpa, Ricardo Trêpa, Maria de Medeiros

With the freedom and rigor that were his trademarks, Portuguese master Manoel de Oliveira returned to Porto, the city where he had been born ninety-three years before, for this sublimely evocative documentary collage. The Porto of this childhood is a city laden with history, a city of artists and thinkers. As in a spiral, the film moves from the ruins of the house where the filmmaker was born to the streets of the city that, in 1896, saw the birth of cinema in Portugal. PORTO OF MY CHILDHOOD takes the form of a search: fragments of memories, footprints, testimonies, song lyrics, and photographs are all portals to a distant past that echoes into the present."
"Portrait of Jason","https://www.criterionchannel.com/portrait-of-jason","https://vhx.imgix.net/criterionchannelchartersu/assets/193445b5-9e53-4504-8d5b-c4a59628e2fc.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shirley Clarke","United States,","1967","Directed by Shirley Clarke • 1967 • United States
Starring Jason Holliday

On the night of December 2, 1966, Shirley Clarke and a tiny crew convened in her apartment at the Hotel Chelsea to make a film. For twelve straight hours, they filmed the one-and-only Jason Holliday as he spun tales, sang, donned costumes, and reminisced about good times and bad behavior as a gay hustler and aspiring cabaret performer. The result is a mesmerizing portrait of a remarkable, charming, and tortured man who is by turns hilarious and heartbreaking."
"The Portrait","https://www.criterionchannel.com/the-portrait","https://vhx.imgix.net/criterionchannelchartersu/assets/a48afc8c-4388-4a55-8351-aed14454285a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Keisuke Kinoshita","Japan,","1948","Directed by Keisuke Kinoshita • 1948 • Japan

An unscrupulous couple plans to take advantage of the artist who rents them a room, but his kind personality soon catches them offguard. Directed by Keisuke Kinoshita."
"Possession","https://www.criterionchannel.com/possession","https://vhx.imgix.net/criterionchannelchartersu/assets/57c6542f-4e9c-4c1a-b851-fa030a9bdaf3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrzej Żuławski","France,","1981","Directed by Andrzej Żuławski • 1981 • France, West Germany
Starring Isabelle Adjani, Sam Neill, Heinz Bennent

Andrzej Żuławski’s stunningly choreographed nightmare of a marriage unraveling is an experience unlike any other. Professional spy Mark (Sam Neill) returns to his West Berlin home to find his wife Anna (Isabelle Adjani, in a role that earned her Best Actress at both Cannes and the César Awards) intent on a divorce. As Anna’s frenzied behavior becomes ever more alarming, Mark discovers a truth far more sinister than his wildest suspicions. With its pulsating score, visceral imagery, and some of the most intense performances ever captured on-screen, POSSESSION is cinematic delirium at its most intoxicating."
"Il posto","https://www.criterionchannel.com/il-posto","https://vhx.imgix.net/criterionchannelchartersu/assets/719ddc46-82fc-487d-add4-1146058826a8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ermanno Olmi","Italy,","1961","Directed by Ermanno Olmi • 1961 • Italy
Starring Sandro Panseri, Loredana Detto

When young Domenico (Sandro Panseri) ventures from the small village of Meda to Milan in search of employment, he finds himself on the bottom rung of the bureaucratic ladder in a huge, faceless company. The prospects are daunting, but Domenico finds reason for hope in the fetching Antonietta (Loredana Detto). A tender coming-of-age story and a sharp observation of dehumanizing corporate enterprise, Ermanno Olmi’s IL POSTO (“The Job,” a.k.a. THE SOUND OF TRUMPETS) is a touching and hilarious tale of one young man’s stumbling entrance into the perils of modern adulthood."
"The Potluck and the Passion","https://www.criterionchannel.com/the-potluck-and-the-passion","https://vhx.imgix.net/criterionchannelchartersu/assets/3aa2169f-a099-4ca3-9afd-a7e1de24b4f8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Cheryl Dunye","United States,","1993","Directed by Cheryl Dunye • 1993 • United States
Starring Jen Benoit, Shelita Birchett, Pat Branch

Sparks fly as racial, sexual, and social politics intermingle at a lesbian potluck."
"Poto and Cabengo","https://www.criterionchannel.com/poto-and-cabengo","https://vhx.imgix.net/criterionchannelchartersu/assets/1fa5c8cb-de61-41ac-a446-c6989907cc54.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean-Pierre Gorin","United States,","1980","Directed by Jean-Pierre Gorin • 1980 • United States

Grace and Virginia are young San Diego twins who speak unlike anyone else. With little exposure to the outside world, the two girls have created a private form of communication that&#39;s an amalgam of the distinctive English dialects they hear at home. Jean-Pierre Gorin&#39;s polyphonic nonfiction investigation of this phenomenon looks at the family from a variety of angles, with the director taking on the role of a sort of sociological detective. It&#39;s a delightful and absorbing study of words and faces, mass media and personal isolation, and America&#39;s odd margins."
"Powwow Highway","https://www.criterionchannel.com/powwow-highway","https://vhx.imgix.net/criterionchannelchartersu/assets/3e8f9458-7c2b-425e-b1ca-9da895fa6d39.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jonathan Wacks","United States,","1989","Directed by Jonathan Wacks • 1989 • United Kingdom, United States
Starring A Martinez, Gary Farmer, Joanelle Romero

The road-movie genre gets a lyrical twist shot through with Native American spirituality in this bittersweet portrait of two Cheyenne men on a journey through the American West and their own identities. Buddy Red Bow (A Martinez) is struggling, in the face of greedy developers, to keep his nation on a Montana Cheyenne Reservation financially solvent and independent. Philbert (Gary Farmer), his easygoing friend, pursues Native wisdom and lore wherever he can find it—even on “Bonanza.” As the two set off on a journey to bail out Buddy’s imprisoned sister, Philbert’s gentle faith challenges Buddy’s hard-edged view of the world, and together they face the realities and dreams of being Cheyenne in the modern-day U.S."
"Prairie Fire","https://www.criterionchannel.com/videos/prairie-fire","https://vhx.imgix.net/criterionchannelchartersu/assets/e0ce2591-d8d4-430d-b248-36d9b82747dd.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Rob Nilsson and John Hanson","United States,","1977","Directed by Rob Nilsson and John Hanson • 1977 • United States

A strikingly shot work of documentary as historical corrective, John Hanson and Rob Nilsson’s PRAIRIE TRILOGY chronicles the story of early North Dakota socialists through a portrait of Henry Martinson, a ninety-seven-year-old ex-organizer and poet. In PRAIRIE FIRE, Martinson recounts the 1916 birth of the Socialist Nonpartisan League, his narrative accompanied by images shot by Nilsson’s own grandfather, Frithjof Holmboe."
"Prefab Story","https://www.criterionchannel.com/prefab-story","https://vhx.imgix.net/criterionchannelchartersu/assets/f0d264aa-6471-489f-bead-0b70e887ec28.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Věra Chytilová","Czechoslovakia,","1979","Directed by Věra Chytilová • 1979 • Czechoslovakia
Starring Lukás Bech, Antonín Vanha, Eva Kacírková

One of the unsung masterpieces of Věra Chytilová’s still largely obscure post-sixties career, this stingingly satiric yet deeply human tragicomedy surveys the everyday absurdity of existence in a ramshackle, perpetually under-construction prefab housing complex: a monument to Soviet idealism that, in its forlorn shoddiness, becomes a symbol of its failings. Blending slapsticks gags with a jagged vérité visual style, Chytilová fashions a devastatingly funny portrait of life in a (literally) crumbling society."
"Premonitions Following an Evil Deed","https://www.criterionchannel.com/premonitions-following-an-evil-deed","https://vhx.imgix.net/criterionchannelchartersu/assets/3a0e7eea-7c73-4978-8ad4-e18cbd201481.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lynch","United States,","1995","Directed by David Lynch • 1995 • 

Police discover a naked dead body."
"Prenatal Care","https://www.criterionchannel.com/prenatal-care","https://vhx.imgix.net/criterionchannelchartersu/assets/12be8385-e689-4858-b707-fcd8588cf01e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sara Gómez","Cuba,","1972","Directed by Sara Gómez • 1972 • Cuba

Informed by director Sara Gómez’s own experiences with childbirth and motherhood, this short documentary offers guidance to pregnant women."
"Presentation, or Charlotte and Her Steak","https://www.criterionchannel.com/presentation-or-charlotte-and-her-steak","https://vhx.imgix.net/criterionchannelchartersu/assets/83d7c9ee-c085-4423-975b-c6e1ba054c1c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Eric Rohmer","France,","1951","Directed by Eric Rohmer • 1951 • France

Walter and Charlotte are a young couple who engage in an awkward conversation before Charlotte is set to take a train out of town."
"Pressure","https://www.criterionchannel.com/pressure-1","https://vhx.imgix.net/criterionchannelchartersu/assets/898f3387-698b-4a0a-8ecb-b89645732ece.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Horace Ové","United Kingdom,","1975","Directed by Horace Ové • 1976 • United Kingdom
Starring Herbert Norville, Oscar James, Frank Singuineau

The fiction debut by esteemed Trinidadian-British documentarian Horace Ové marked a watershed in the history of British cinema. This gripping and immersive drama was the nation’s first feature to be written and directed by a Black filmmaker, and the first to fully focus on the perspective of Black characters. Ové and novelist Sam Selvon’s gritty script centers on teenage Tony (Herbert Norville), caught between his Trinidadian parents’ (Lucita Lijertwood and Frank Singuineau) desire to attain middle-class respectability in London and his older brother Colin’s (Oscar James) urging to join the Black Power movement. After encountering racism while hanging out with a white girl and searching for employment, Tony finds comradeship with a group of aimless Caribbean boys, only to discover that their petty criminality is a dead end. Ové depicts Tony’s subsequent political awakening in captivating vérité style as he realizes that taking on the system will invite not only violent police oppression but also a thorough examination of his own values and beliefs. Suffused with the political outrage and explosive rebellion of 1970s London, PRESSURE is a marvel of lived-in independent filmmaking that captures Black working-class solidarity while refusing easy solutions to social problems—like income disparity, juvenile delinquency, racial profiling—that remain relevant today."
"Pretty as a Picture: The Art of David Lynch","https://www.criterionchannel.com/pretty-as-a-picture-the-art-of-david-lynch","https://vhx.imgix.net/criterionchannelchartersu/assets/93da3a36-79ae-4f94-93ca-cca4638ca0cd.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Toby Keeler","United States,","1997","Directed by Toby Keeler • 1997 • United States
Starring David Lynch, Angelo Badalamenti, Jack Nance

This eighty-minute documentary was made by Toby Keeler in 1997. In addition to footage from the set of LOST HIGHWAY, it includes interviews with David Lynch, Patricia Arquette, Angelo Badalamenti, Robert Blake, Mel Brooks, Catherine Coulson, Peter Deming, Jack Fisk, Balthazar Getty, Barry Gifford, Austin Lynch, Jennifer Lynch, Jack Nance, Dean Stockwell, and Mary Sweeney."
